sample_name	sample_name_original	barcode_prefix	sample_type	gcms_sample_name	gcms_sequence	gcms_analysis_batch	gcms_run_location	lcms_sample_name_fbmn	lcms_sample_name_cmn	lcms_batch	lcms_extraction_protocol	lcms_sample_type	lcms_sample_type_sub	collection_timestamp	depth_sample	depth_method	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	environmental_package	geo_loc_name	host_subject_id	iron_mg_per_l	latitude	longitude	project_name	scientific_name	read_count_shotgun_r1	read_count_shotgun_woltka_uniq	read_count_shotgun_rep200	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar10k_faithspd	songbird_trainTest_5050_empo_3	songbird_trainTest_5050_env_material	songbird_trainTest_8020_empo_3	songbird_trainTest_8020_env_material
13114.metcalf.40.s011	Metcalf40.10141.G.soil.T4.1	metcalf.40.s011	soil	EMP_Feces_metcalf_40_s011_a03_M_074	74	note applicable	UCSD	1A9_1_11_metcalf-40-s011-a04.mzML	1A9_1_11_metcalf-40-s011-a04	1	Bulk_201901_UCSD	Sample	Bulk	06/12/2012 0:00	0	not applicable	10141.G.soil.T4.1	1624.1	Metcalf	40	Mouse decomposition soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	temperate grassland biome	grassland soil	soil	soil	soil	United States of America:State of Colorado:City of Boulder	G.soil.T4.1	not applicable	40.015	-105.27	Mouse decomposition experiment on contrasting soil types	soil metagenome	13379692	766457	1557881	1074	3.998465473	141.2738171	182	3.898021913	31.61868846	1615	4.448755236	212.4619435	1614	4.448733654	211.9861424	383	4.355379076	62.63031466	Test	Train	Train	Train
13114.metcalf.40.s002	Metcalf40.10141.D.CTRL.soil.T4.1	metcalf.40.s002	soil	EMP_Feces_metcalf_40_s002_a03_M_069	69	note applicable	UCSD	1B1_1_17_metcalf-40-s002-a04.mzML	1B1_1_17_metcalf-40-s002-a04	1	Bulk_201901_UCSD	Sample	Bulk	06/12/2012 0:00	0	not applicable	10141.D.CTRL.soil.T4.1	1624.1	Metcalf	40	Mouse decomposition soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	temperate desert biome	desert sand	soil	soil	soil	United States of America:State of Colorado:City of Boulder	D.CTRL.soil.T4.1	not applicable	40.015	-105.27	Mouse decomposition experiment on contrasting soil types	soil metagenome	10218499	50107	132527	739	4.523648487	104.0604089	293	4.411078097	51.02082033	954	4.70923981	148.1222572	954	4.70923981	148.1222572	569	4.690819908	92.0443228	Train	Train	Train	Train
13114.lcms.blank.solvent.03	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	1D5_Blank.mzML	1D5_Blank	1	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.berry.2.s014	Berry2.sediment.Un12	berry.2.s014	sediment	EMP_Feces_berry_2_s014_a03_M_003	3	note applicable	UCSD	1B11_1_32_berry-2-s014-a04.mzML	1B11_1_32_berry-2-s014-a04	1	Bulk_201901_UCSD	Sample	Bulk	3/14/02 0:00	0.12	not applicable	Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.	92.7	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Norfolk County	Un12	not applicable	42.06	-71.37761	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	14249291	18676	21468	417	6.489908718	76.20975683	363	6.416948336	68.61040337	951	7.216033792	216.1665115	945	7.212641784	214.4188435	766	7.163522575	179.4660064	Train	Train	Train	Train
13114.metcalf.40.s013	Metcalf40.10143.004.4.25.2013.Soil.Head.SiteA	metcalf.40.s013	soil	EMP_Feces_metcalf_40_s013_a03_M_075	75	note applicable	UCSD	1B12_1_33_metcalf-40-s013-a04.mzML	1B12_1_33_metcalf-40-s013-a04	1	Bulk_201901_UCSD	Sample	Bulk	4/25/13 0:00	0	not applicable	10143.004.4.25.2013.Soil.Head.SiteA	113.1	Metcalf	40	Mouse decomposition soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	temperate coniferous forest biome	forest soil	soil	soil	soil	United States of America:State of Texas:City of Huntsville	Soil.Head.SiteA	not applicable	30.71308	-95.55	Mouse decomposition experiment on contrasting soil types	soil metagenome	12287519	2111949	6385727	954	4.16862443	118.2255871	141	4.065474431	23.0859486	1479	4.879316562	171.5158048	1478	4.879280454	171.5066275	325	4.824330548	47.3935056	Test	Train	Train	Train
13114.berry.2.s019	Berry2.sediment.Un96	berry.2.s019	sediment	EMP_Feces_berry_2_s019_a03_M_008	8	note applicable	UCSD	1B2_1_20_berry-2-s019-a04.mzML	1B2_1_20_berry-2-s019-a04	1	Bulk_201901_UCSD	Sample	Bulk	3/14/02 0:00	0.96	not applicable	Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.	92.7	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Norfolk County	Un96	not applicable	42.06	-71.37761	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	7398499	28020	1988	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	358	3.279933736	120.3555566	355	3.27776761	119.4302971	252	3.254170555	89.30573125	Train	Train	Train	Train
13114.berry.2.s005	Berry2.sediment.Do51	berry.2.s005	sediment	EMP_Feces_berry_2_s005_a03_M_093	93	note applicable	UCSD	1B3_1_21_berry-2-s005-a04.mzML	1B3_1_21_berry-2-s005-a04	1	Bulk_201901_UCSD	Sample	Bulk	8/13/02 0:00	0.51	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do51	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	3219287	3465	6315	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	336	5.02873192	100.6665178	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Train	Train
13114.metcalf.40.s005	Metcalf40.10141.F.CTRL.soil.T0.1	metcalf.40.s005	soil	not applicable	not applicable	not applicable	not applicable	1B4_1_22_metcalf-40-s005-a03.mzML	1B4_1_22_metcalf-40-s005-a03	1	Bulk_201901_UCSD	Sample	Bulk	5/29/12 0:00	0	not applicable	10141.F.CTRL.soil.T0.1	1624.1	Metcalf	40	Mouse decomposition soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	temperate coniferous forest biome	forest soil	soil	soil	soil	United States of America:State of Colorado:City of Boulder	F.CTRL.soil.T0.1	not applicable	40.015	-105.27	Mouse decomposition experiment on contrasting soil types	soil metagenome	11267455	68404	299510	758	4.927917988	102.9487753	292	4.872162785	48.24187734	940	5.087741824	136.8165358	940	5.087741824	136.8165358	480	4.958524269	77.63930821	Test	Train	Train	Train
13114.mayer.34.s002	Mayer34.sediment.2	mayer.34.s002	sediment	EMP_Feces_mayer_34_s002_a03_M_081	81	note applicable	UCSD	1B5_1_23_mayer-34-s002-a04.mzML	1B5_1_23_mayer-34-s002-a04	1	Bulk_201901_UCSD	Sample	Bulk	1/22/16 0:00	0.1	not applicable	sediment sample CC2	3191	Mayer	34	Animas watershed	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small river biome	tributary	stream sediment	sediment	sediment	United States of America:State of Colorado:San Juan County:Animas River	CC2	not applicable	37.89004	-107.65252	Animas Watershed	freshwater sediment metagenome	12942118	46435	162561	626	6.235525412	99.04574894	390	6.080523892	68.35218028	1037	5.478243578	195.7249118	1025	5.472763936	191.9983523	598	5.397217589	119.0085064	Train	Test	Train	Train
13114.berry.2.s007	Berry2.sediment.Pi5	berry.2.s007	sediment	EMP_Feces_berry_2_s007_a03_M_098	98	note applicable	UCSD	1B6_1_27_berry-2-s007-a04.mzML	1B6_1_27_berry-2-s007-a04	1	Bulk_201901_UCSD	Sample	Bulk	8/21/02 0:00	0.05	not applicable	Freshwater sediment core slice from Pickerel Pond MA.  Aseptically collected subsample.	69.8	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Town of Ludlow	Pi5	not applicable	42.30844	-71.3412	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	3081491	2442	8926	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	435	6.836458057	109.957773	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train
13114.berry.2.s001	Berry2.sediment.Do5	berry.2.s001	sediment	EMP_Feces_berry_2_s001_a03_M_258	258	note applicable	UCSD	1B7_1_28_berry-2-s001-a04.mzML	1B7_1_28_berry-2-s001-a04	1	Bulk_201901_UCSD	Sample	Bulk	8/13/02 0:00	0.05	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do5	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	12858750	8206	19084	374	6.129717655	78.67866328	326	6.098247593	70.36402907	722	7.307278394	171.3507656	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train
13114.metcalf.40.s008	Metcalf40.10141.F.soil.T5.1	metcalf.40.s008	soil	not applicable	not applicable	not applicable	not applicable	1B8_1_30_metcalf-40-s008-a03.mzML	1B8_1_30_metcalf-40-s008-a03	1	Bulk_201901_UCSD	Sample	Bulk	6/27/12 0:00	0	not applicable	10141.F.soil.T5.1	1624.1	Metcalf	40	Mouse decomposition soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	temperate coniferous forest biome	forest soil	soil	soil	soil	United States of America:State of Colorado:City of Boulder	F.soil.T5.1	not applicable	40.015	-105.27	Mouse decomposition experiment on contrasting soil types	soil metagenome	10516541	715130	7045169	819	3.532138908	104.2576889	143	3.471484159	23.18122169	1255	3.939145412	159.1345447	1255	3.939145412	159.1345447	272	3.86507393	42.36770012	Train	Train	Train	Train
13114.berry.2.s017	Berry2.sediment.Un51	berry.2.s017	sediment	EMP_Feces_berry_2_s017_a03_M_006	6	note applicable	UCSD	1B9_1_31_berry-2-s017-a04.mzML	1B9_1_31_berry-2-s017-a04	1	Bulk_201901_UCSD	Sample	Bulk	3/14/02 0:00	0.51	not applicable	Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.	92.7	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Norfolk County	Un51	not applicable	42.06	-71.37761	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	8361807	6730	6819	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	576	7.243996996	148.5856489	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Train	Train
13114.metcalf.40.s009	Metcalf40.10141.G.CTRL.soil.T0.1	metcalf.40.s009	soil	not applicable	not applicable	not applicable	not applicable	1C1_1_34_metcalf-40-s009-a03.mzML	1C1_1_34_metcalf-40-s009-a03	1	Bulk_201901_UCSD	Sample	Bulk	5/29/12 0:00	0	not applicable	10141.G.CTRL.soil.T0.1	1624.1	Metcalf	40	Mouse decomposition soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	temperate grassland biome	grassland soil	soil	soil	soil	United States of America:State of Colorado:City of Boulder	G.CTRL.soil.T0.1	not applicable	40.015	-105.27	Mouse decomposition experiment on contrasting soil types	soil metagenome	12846752	104525	251547	981	6.153427207	130.7632321	354	6.050518466	58.78308035	1307	6.312147437	185.8574941	1306	6.312034505	185.6849085	637	6.272417683	97.7745835	Test	Train	Train	Train
13114.berry.2.s002	Berry2.sediment.Do15	berry.2.s002	sediment	EMP_Feces_berry_2_s002_a03_M_090	90	note applicable	UCSD	1C10_1_44_berry-2-s002-a04.mzML	1C10_1_44_berry-2-s002-a04	1	Bulk_201901_UCSD	Sample	Bulk	8/13/02 0:00	0.15	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do15	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	13034781	7362	15373	362	6.761690239	74.09397934	356	6.759768627	73.52023988	783	7.848542678	192.5521356	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Train	Train
13114.berry.2.s010	Berry2.sediment.Pi61	berry.2.s010	sediment	EMP_Feces_berry_2_s010_a03_M_099	99	note applicable	UCSD	1C11_1_45_berry-2-s010-a04.mzML	1C11_1_45_berry-2-s010-a04	1	Bulk_201901_UCSD	Sample	Bulk	8/21/02 0:00	0.61	not applicable	Freshwater sediment core slice from Pickerel Pond MA.  Aseptically collected subsample.	69.8	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Town of Ludlow	Pi61	not applicable	42.30844	-71.3412	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	9802326	5615	6159	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	328	5.434877739	105.7452887	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Train	Train
13114.metcalf.40.s001	Metcalf40.10141.D.CTRL.soil.T0.1	metcalf.40.s001	soil	not applicable	not applicable	not applicable	not applicable	1C12_1_49_metcalf-40-s001-a03.mzML	1C12_1_49_metcalf-40-s001-a03	1	Bulk_201901_UCSD	Sample	Bulk	5/29/12 0:00	0	not applicable	10141.D.CTRL.soil.T0.1	1624.1	Metcalf	40	Mouse decomposition soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	temperate desert biome	desert sand	soil	soil	soil	United States of America:State of Colorado:City of Boulder	D.CTRL.soil.T0.1	not applicable	40.015	-105.27	Mouse decomposition experiment on contrasting soil types	soil metagenome	12550563	33094	104736	832	7.132484227	116.1707709	439	7.060546151	67.70546706	1051	7.313076809	152.5791532	1051	7.313076809	152.5791532	739	7.265258831	111.0201565	Test	Train	Train	Train
13114.metcalf.40.s006	Metcalf40.10141.F.CTRL.soil.T4.1	metcalf.40.s006	soil	EMP_Feces_metcalf_40_s006_a03_M_071	71	note applicable	UCSD	1C2_1_35_metcalf-40-s006-a04.mzML	1C2_1_35_metcalf-40-s006-a04	1	Bulk_201901_UCSD	Sample	Bulk	06/12/2012 0:00	0	not applicable	10141.F.CTRL.soil.T4.1	1624.1	Metcalf	40	Mouse decomposition soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	temperate coniferous forest biome	forest soil	soil	soil	soil	United States of America:State of Colorado:City of Boulder	F.CTRL.soil.T4.1	not applicable	40.015	-105.27	Mouse decomposition experiment on contrasting soil types	soil metagenome	13031156	66468	228244	793	5.281650791	109.8515261	260	5.156642725	43.50081461	991	5.392311263	146.3058679	991	5.392311263	146.3058679	490	5.362971602	77.48460073	Train	Train	Train	Train
13114.mayer.34.s003	Mayer34.sediment.3	mayer.34.s003	sediment	EMP_Feces_mayer_34_s003_a03_M_082	82	note applicable	UCSD	1C3_1_36_mayer-34-s003-a04.mzML	1C3_1_36_mayer-34-s003-a04	1	Bulk_201901_UCSD	Sample	Bulk	1/22/16 0:00	0.1	not applicable	sediment sample CC3	2832	Mayer	34	Animas watershed	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small river biome	tributary	stream sediment	sediment	sediment	United States of America:State of Colorado:San Juan County:Animas River	CC3	not applicable	37.80992	-107.66059	Animas Watershed	freshwater sediment metagenome	11729800	46313	138924	608	6.012242438	102.0200308	368	5.940000396	69.17640568	981	5.880137187	193.2021212	973	5.875682106	191.0663957	607	5.810500671	127.1932995	Test	Test	Test	Train
