rowid,mibig_accession,organism_name,ncbi_tax_id,smiles,inchikey,no_stereo_inchikey,compound_name,molecular_formula
20,BGC0001763,Streptomyces atratus,1893,C/C=C/C[C@H]1C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)NC(C(=O)N1)CC(C)C)CC(C)C)C)C)CC2=CC(=C(C=C2)O)[N+](=O)[O-])CC(C)C)C)CC3=CN(C4=CC=CC=C43)C(C)(C)C=C,HCKHGXRBMDZKJV-YOHGAQRXSA-N,HCKHGXRBMDZKJV,rufomycin,C54H77N9O10
21,BGC0001394,Myxococcus stipitatus DSM 14675,1278073,C[C@@H](CO)NC(=O)C(\C)=C\C=C\C=C\C=C\C(\C)=C\[C@@H](C)[C@@H](O)C(\C)=C\[C@@H](C)CCC1=CC=CC=C1,LCADVYTXPLBAGB-MBJKUHNJSA-N,LCADVYTXPLBAGB,phenalamide A2,C32H45NO3
22,BGC0000286,Streptomyces sp. KO-3988,285219,C[C@@]12CC[C@@H](C([C@H]1CC[C@@H]3C2=CC[C@](C3)(C)C=C)(C)C)O,HPFBDDHVNYWUGF-MFMLGXQFSA-N,HPFBDDHVNYWUGF,viguiepinol,C20H32O
23,BGC0001400,Aspergillus terreus NIH2624,341663,C[C@@H]1[C@]([C@H]([C@](O1)(C)/C=C(\C)/C=C/C=C/C=C/C2=C(C(=CC(=O)O2)OC)C)O)(C)O,JLSVDPQAIKFBTO-OMCRQDLASA-N,JLSVDPQAIKFBTO,citreoviridin,C23H30O6
24,BGC0000301,Planktothrix agardhii NIVA-CYA 126/8,388467,CC[C@@H]([C@H]1C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CCCNC(N)=N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CCC2=CC=C(O)C=C2)C(N(C)[C@@H](CCC3=CC=C(O)C=C3)C(N1)=O)=O)=O)=O)=O)C,FPSCSFRHCCJLDN-ORCWKVIUSA-N,FPSCSFRHCCJLDN,anabaenopeptin 908,C45H68N10O10
25,BGC0000301,Planktothrix agardhii NIVA-CYA 126/8,388467,CC[C@H](C)[C@H]1C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1)CCC2=CC=C(C=C2)O)C)CCC3=CC=C(C=C3)O)C(C)C)NC(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)O,KWDLKNNQGMAHJR-HBWVXJRASA-N,KWDLKNNQGMAHJR,anabaenopeptin 915,C48H65N7O11
26,BGC0001166,Alternaria jesenskae,378183,C[C@@H]1C(=O)N[C@H](C(=O)N2CCC[C@@H]2C(=O)N[C@H](C(=O)N1)C)CCCCCC(=O)C3CO3,GNYCTMYOHGBSBI-KVUCBBCISA-N,GNYCTMYOHGBSBI,HC-toxin,C21H32N4O6
27,BGC0001610,Streptomyces ahygroscopicus subsp. wuzhouensis,387850,CNCC(=O)NC(CO)C(=O)NC1C(C(C(OC1C(=O)N)N2C=CC(=NC2=O)N)O)O,AMNAZJFEONUVTD-UHFFFAOYSA-N,AMNAZJFEONUVTD,gougerotin,C16H25N7O8
28,BGC0000676,Phoma betae,137527,[H][C@]12C[C@]3([H])C[C@]1(CC[C@]3(O)CO)[C@@]1(C)CC[C@@H](O)[C@@](C)(CO)[C@]1([H])CC2,NOFOAYPPHIUXJR-APNQCZIXSA-N,NOFOAYPPHIUXJR,aphidicolin,C20H34O4
29,BGC0000676,Phoma betae,137527,C[C@]12CCCC([C@@H]1CC[C@@H]3[C@@]24CC[C@@]([C@@H](C3)C4)(C)O)(C)C,ODCPNBCPLWJVQI-NHWXPXPKSA-N,ODCPNBCPLWJVQI,aphidicolan-16β-ol,C20H34O
30,BGC0000676,Phoma betae,137527,[H][C@]12C[C@]3([H])C[C@]1(CC[C@]3(O)CO)[C@@]1(C)CCC[C@@](C)(CO)[C@]1([H])CC2,VHWTVINEPPOCLA-DTMQFJJTSA-N,VHWTVINEPPOCLA,3-deoxyaphidicolin,C20H34O3
31,BGC0000676,Phoma betae,137527,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@@]1([H])CC[C@]3([H])[C@]2(CC[C@@]4(C)O)C[C@@]4([H])C3,HRPBVTJJLYDCOZ-XPZISPLRSA-N,HRPBVTJJLYDCOZ,17-deoxyaphidicolin,C20H34O3
32,BGC0001015,Planktothrix agardhii NIVA-CYA 126/8,388467,C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C,ZYZCGGRZINLQBL-JCGNTXOTSA-N,ZYZCGGRZINLQBL,microcystin,C49H74N10O12
33,BGC0001753,Streptomyces globisporus subsp. globisporus,66858,CC(C)C1NC(=O)C2=CSC(=N2)C2=C(N=C(C=C2)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)C2=C(C)OC(=N2)C(=C)NC(=O)C(=C)NC(=O)C2=CSC(=N2)C(C)NC(=O)C2=CSC(=N2)C(C)NC(=O)C2=C(C)OC(CNC1=O)=N2,NDNYFEHDYFDAPS-UHFFFAOYSA-N,NDNYFEHDYFDAPS,radamycin,C48H47N15O11S3
34,BGC0001652,Streptomyces sp. ICBB 8177,563922,[H][C@@]12CC(CC)=CN1C(=O)C1=CC=C(OC)C(O)=C1N=C2,FLGURYUVNVBBFP-JTQLQIEISA-N,FLGURYUVNVBBFP,limazepine C,C15H16N2O3
35,BGC0001652,Streptomyces sp. ICBB 8177,563922,CCC1=CN2C(=C1)C=NC1=C(O)C(OC)=CC=C1C2=O,SKMAAAVNEKWJHB-UHFFFAOYSA-N,SKMAAAVNEKWJHB,limazepine D,C15H14N2O3
36,BGC0001652,Streptomyces sp. ICBB 8177,563922,[H][C@@]12C\C(CN1C(=O)C1=CC=C(OC)C(O)=C1N=C2)=C/C,FOMJEHKAWAOFOV-RZCNENHTSA-N,FOMJEHKAWAOFOV,limazepine E,C15H16N2O3
37,BGC0001652,Streptomyces sp. ICBB 8177,563922,[H][C@@]12C\C(CN1C(=O)C1=CC=CC=C1N[C@@H]2O)=C/C,ULQQQQMOGBDJEB-PHVGEZJSSA-N,ULQQQQMOGBDJEB,limazepine F,C14H16N2O2
38,BGC0001652,Streptomyces sp. ICBB 8177,563922,[H][C@@]12CC(CC)=CN1C(=O)C1=CC=C(OC)C(O)=C1NC2=O,WFFPORSPDSBCLL-JTQLQIEISA-N,WFFPORSPDSBCLL,limazepine A,C15H16N2O4
39,BGC0001558,Streptomyces sp. CNT302,1169155,CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CC[C@H](O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)C2=C(O)C3=C(C(O)=C2[C@H]1O[C@H]1C[C@@H]([C@H](O[C@H]2CC[C@H](O[C@H]4CC[C@H](O)[C@H](C)O4)[C@H](C)O2)[C@H](C)O1)N(C)C)C(=O)C1=C(C(O)=CC=C1)C3=O,JRCMJKKALYUURJ-OVYBONNASA-N,JRCMJKKALYUURJ,cosmomycin C,C60H88N2O21
40,BGC0000233,Streptomyces griseoruber,1943,CC1C(C(CC(O1)C2=CC(=C(C3=C2C(=O)C4=CC(=C5C(=O)C=C(OC5=C4C3=O)C6(C(O6)C7C(O7)C)C)C)O)C8CC(C(C(O8)C)O)(C)N(C)C)N(C)C)O,RZOFHOWMWMTHDX-UHFFFAOYSA-N,RZOFHOWMWMTHDX,hedamycin,C41H50N2O11
41,BGC0000522,Lactococcus lactis,1358,CC[C@H](C)[C@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](C)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)CCSC)C(C)C)C(C)C)[C@@H](C)CC)C(C)C)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC)C(C)C)C(C)C)[C@@H](C)CC)[C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(O)=O,YEVFXGXMSXDKTA-STUIYEDVSA-N,YEVFXGXMSXDKTA,lacticin Z,C281H447N71O68S
42,BGC0000666,Streptomyces sp. SCSIO 02999,1194094,C[C@]12CC[C@@H]([C@@]([C@@H]1CCC3=C2C=C4C5=CC=CC=C5NC4=C3)(C)C(=O)O)O,XUTJPVCJXVRRLB-SKWRMQMOSA-N,XUTJPVCJXVRRLB,xiamycin A,C23H25NO3
43,BGC0000112,Streptomyces carzinostaticus subsp. neocarzinostaticus,167636,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]\2[C@@H](C=C3/C2=C\C#C[C@@H]4[C@@](O4)(C#C3)[C@H]5COC(=O)O5)OC(=O)C6=C(C=CC7=C(C=C(C=C76)OC)C)O)NC)O)O,QZGIWPZCWHMVQL-UIYAJPBUSA-N,QZGIWPZCWHMVQL,neocarzinostatin,C35H33NO12
44,BGC0000336,Streptomyces filamentosus NRRL 11379,457430,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@H](C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,DOAKLVKFURWEDJ-QCMAZARJSA-N,DOAKLVKFURWEDJ,daptomycin,C72H101N17O26
45,BGC0000418,Amycolatopsis lurida,31959,CC1C(C(CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=CC=C2C=C8)OC9C(C(C(C(O9)COC1C(C(C(C(O1)C)O)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(CO1)O)O)O)OC1=CC=C(C=C1)C(C1C(=O)NC(C2=CC(=C(C(=C2)O)C)OC2=C(C=CC(=C2)C(C(=O)N1)N)O)C(=O)N6)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)OC)N)O,VUOPFFVAZTUEGW-UHFFFAOYSA-N,VUOPFFVAZTUEGW,ristocetin,C95H110N8O44
46,BGC0001341,Rothia nasimurium,85336,CC(C)[C@@H]1NC(=O)C(C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,FCFNRCROJUBPLU-ZJUJSLGGSA-N,FCFNRCROJUBPLU,valinomycin,C54H90N6O18
47,BGC0000997,[Polyangium] brachysporum,413882,CCCCCCC/C=C/C=C/C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]1C[C@H](CCNC(=O)/C=C\[C@@H](NC1=O)C)O,TYGJUQYJMIOZLZ-QQXADAIISA-N,TYGJUQYJMIOZLZ,glidobactin,C27H44N4O6
48,BGC0001395,Actinoplanes teichomyceticus,1867,CCCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)[C@H]([C@H]6C(=O)N[C@H](C7=CC(=CC(=C7C8=C(C=CC(=C8)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]9C1=CC(=CC(=C1)O)OC1=C(C=CC(=C1)[C@H](C(=O)N[C@H](CC1=CC(=C(O3)C=C1)Cl)C(=O)N9)N)O)O)O[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)C(=O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)Cl)CO)O)O,BJNLLBUOHPVGFT-QRZIFLFXSA-N,BJNLLBUOHPVGFT,teichomycin,C88H97Cl2N9O33
49,BGC0000640,Enterobacteriaceae bacterium DC404,338905,C[C@H](CCCCC(C)CCC[C@@H](C)CCCC(C)CCC=C(C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)(C)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,MQXYWDPDLKUSFB-HOOXQTDMSA-N,MQXYWDPDLKUSFB,carotenoid,C46H90O6
50,BGC0001548,Streptomyces albulus,68570,C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1)CC(C)C)CC(C)C)CC(C)C)C(=O)N[C@@H](CCCNC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)O)CC(=O)N,JYSBHGIINWQTOH-JHTNTUONSA-N,JYSBHGIINWQTOH,citrulassin A,C69H120N20O21
51,BGC0001440,Kitasatospora cystarginea,58350,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)C1OC(=O)C1C(C)C)C(C)C)C(O)=O,LYUCHIIJQVXUQP-NBWCBLLSSA-N,LYUCHIIJQVXUQP,cystargolide A,C18H30N2O6
52,BGC0001440,Kitasatospora cystarginea,58350,CC(C)[C@H](NC(=O)[C@@H](NC(=O)C1OC(=O)C1C(C)C)C(C)C)C(O)=O,PDPYJYDVMZXUKQ-ZFQMDJOTSA-N,PDPYJYDVMZXUKQ,cystargolide B,C17H28N2O6
53,BGC0000575,Rhodococcus jostii,132919,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC2=CN=CN2)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N5)CCCNC(=N)N)CC6=CC=C(C=C6)O)C(C)C)CC(C)C)CCC(=O)N)CO,MJXKYYQJGOCUNE-KBACZRJDSA-N,MJXKYYQJGOCUNE,lariatin,C94H142N26O25
54,BGC0000954,Chondromyces crocatus,52,CO\C(C)=C\C(=O)N(C)C\C=C\CC\C=C/C=C\CC(=C)C1=NC(C[C@H](C)[C@@H]2OC(=O)C3=C(O)C(C)=CC=C3[C@H]2O)=CO1,CIWQMSHQAVWNOO-OPGPRAPUSA-N,CIWQMSHQAVWNOO,ajudazol A,C34H42N2O7
55,BGC0000380,Sorangium cellulosum,56,C1(OC/C(=C(/C)\CCC[*])/C/1=C/C1C2COC(=O)C(CC(C)C)CC(=O)OC3C(C)(CO)C(=O)OC3C(C)=CCC3NC(=CC=3)C(O2)=N1)CC(C)C,,,leupyrrin,C40H55*N2O9
56,BGC0001096,Pseudomonas sp. 2663,764483,C[C@H]1C[C@H]([C@H](O[C@H]1C/C=C(\C)/C=C/[C@@H]2[C@H]([C@@]3(C[C@@](O2)(C)O)CO3)O)C)NC(=O)/C=C\[C@H](C)OC(=O)C,PJKVJJDQXZARCA-QHYZBLTGSA-N,PJKVJJDQXZARCA,FR901464,C27H41NO8
57,BGC0000871,Myxococcus xanthus DK 1622,246197,NCCOP([O-])(OCC(OC(CCCCCCCCCCCC(C)C)=O)CO/C=C\CCCCCCCCCCC(C)C)=O,WFCKUURGYDSXHH-NFFVHWSESA-M,WFCKUURGYDSXHH,VEPE,C35H69NO7P-
58,BGC0000871,Myxococcus xanthus DK 1622,246197,NCCOP([O-])(OCC(OC(CCCCCCCCCCCC(C)C)=O)COCCCCCCCCCCCCC(C)C)=O,MVNNGAYHEUJLNG-UHFFFAOYSA-M,MVNNGAYHEUJLNG,AEPE,C35H71NO7P-
59,BGC0000871,Myxococcus xanthus DK 1622,246197,CC(C)CCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCC(C)C)=O)COCCCCCCCCCCCCC(C)C)=O,KVQANZNUZBQHOF-UHFFFAOYSA-N,KVQANZNUZBQHOF,TG-1,C48H94O5
60,BGC0000948,Bacteroides fragilis NCTC 9343,272559,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)[C@@H]([C@@H](CCCCCCCCCCCCCC)O)O,VQFKFAKEUMHBLV-BYSUZVQFSA-N,VQFKFAKEUMHBLV,α-galactosylceramide,C50H99NO9
61,BGC0001083,Streptomyces sp. CNH189,1136432,CC(C)C1CC2C(C)(CCC=C(C)C)C3(Cl)C(=O)C2(C1)C1=CC(O)=CC(O)=C1C3=O,UOWJKRBYLCVYIT-UHFFFAOYSA-N,UOWJKRBYLCVYIT,merochlorin A,C25H31ClO4
62,BGC0001083,Streptomyces sp. CNH189,1136432,CC(C)=CCCC1(C)OC2=C(Cl)C(=O)C3=C(O)C=C(O)C=C3C22CC(CC12)=C(C)C,WEFLJOVONZPAEL-UHFFFAOYSA-N,WEFLJOVONZPAEL,merochlorin B,C25H29ClO4
63,BGC0001083,Streptomyces sp. CNH189,1136432,OC1=C2C([C@]3(C/C(C4)=C(C)\C)[C@@H]4[C@@](C)(CC/C=C(C)/C)[C@](C3=O)([H])C2=O)=CC(O)=C1,QHMTWUPGGIBSFH-KOSPYUSVSA-N,QHMTWUPGGIBSFH,deschloro-merochlorin A,C25H30O4
64,BGC0001083,Streptomyces sp. CNH189,1136432,OC1=C2C(C(C3C(C)(CC/C=C(C)/C)O4)(C/C(C3)=C(C)/C)C4=C([H])C2=O)=CC(O)=C1,AKXGRVOOWGJLFD-UHFFFAOYSA-N,AKXGRVOOWGJLFD,deschloro-merochlorin B,C25H30O4
65,BGC0001083,Streptomyces sp. CNH189,1136432,OC1=C2C(C(C3C(C)(CC/C=C(C)/C)O4)(C/C(C3)=C(C)/C)C4=C([H])C2=O)=CC(O)=C1Cl,MXYVQGBXMBHBHE-UHFFFAOYSA-N,MXYVQGBXMBHBHE,isochloro-merochlorin B,C25H29ClO4
