sample_name	sample_name_original	barcode_prefix	sample_type	gcms_sample_name	gcms_sequence	gcms_analysis_batch	gcms_run_location	lcms_sample_name_fbmn	lcms_sample_name_cmn	lcms_batch	lcms_position	lcms_extraction_protocol	lcms_sample_type	lcms_sample_type_sub	lcms_replicate	collection_timestamp	depth_sample	depth_method	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_pi_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	environmental_package	geo_loc_name	host_subject_id	iron_mg_per_l	latitude	longitude	project_name	scientific_name	read_count_shotgun_r1	read_count_shotgun_woltka_uniq	read_count_shotgun_rep200	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar10k_faithspd	songbird_train_empo_3
13114.angenent.65.s003	Angenent65.misc.946	angenent.65.s003	bioreactor sludge	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	11/28/13 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123.0	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.104	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	1813547.0	70200.0	176825.0	83.0	1.7445808390000002	25.50812355	42.0	1.7082955030000002	14.52886464	247.0	3.1816730238785587	64.6812404660741	246.0	3.181468459780046	64.31125002040062	128.0	3.1907196190499505	39.304736017482355	Train
13114.angenent.65.s004	Angenent65.misc.1022	angenent.65.s004	bioreactor sludge	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	2/12/14 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123.0	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.519	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	3711056.0	79070.0	248347.0	233.0	2.92324764	53.08956233	98.0	2.9435412	28.50804685	514.0	4.3352671928853015	108.8680981917562	514.0	4.3352671928853015	108.8680981917562	234.0	4.308235953851399	61.45145913441229	Train
13114.angenent.65.s005	Angenent65.misc.1538	angenent.65.s005	bioreactor sludge	EMP_Feces_angenent_65_s005_a03_M_187	187	note applicable	UCSD	5A6_2_19_angenent-65-s005-a04.mzML	5A6_2_19_angenent-65-s005-a04	5.00	5A6	Bulk_201901_UCSD	Sample	Bulk	no	7/13/15 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123.0	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1538	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	4697336.0	884685.0	1473829.0	390.0	3.178508864	72.01594819	72.0	3.127986121	19.3422969	788.0	3.934924502507544	144.5528776640933	788.0	3.934924502507544	144.5528776640933	186.0	3.9260344276640717	50.22961466305425	Train
13114.angenent.65.s006	Angenent65.misc.1622	angenent.65.s006	bioreactor sludge	EMP_Feces_angenent_65_s006_a03_M_188	188	note applicable	UCSD	5A4_2_14_angenent-65-s006-a04.mzML	5A4_2_14_angenent-65-s006-a04	5.00	5A4	Bulk_201901_UCSD	Sample	Bulk	no	10/5/15 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123.0	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1622	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	3123931.0	239342.0	295051.0	146.0	2.269744281	39.85309097	53.0	2.147718791	18.64942329	364.0	3.5899214605682053	91.10565934662144	364.0	3.5899214605682053	91.10565934662144	142.0	3.5142503258912408	44.69759240093117	Test
13114.angenent.65.s007	Angenent65.misc.1722	angenent.65.s007	bioreactor sludge	EMP_Feces_angenent_65_s007_a03_M_189	189	note applicable	UCSD	5A2_2_3_angenent-65-s007-a04.mzML	5A2_2_3_angenent-65-s007-a04	5.00	5A2	Bulk_201901_UCSD	Sample	Bulk	no	1/13/15 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123.0	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1722	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	13106283.0	548054.0	1194312.0	373.0	3.437899971	71.95596657	117.0	3.47003205	30.45152722	842.0	4.530167460325922	149.90229443571252	842.0	4.530167460325922	149.90229443571252	217.0	4.503652563907068	56.93339701136573	Train
13114.angenent.65.s008	Angenent65.misc.1818	angenent.65.s008	bioreactor sludge	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	4/18/16 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123.0	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1538	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	2356117.0	60252.0	175342.0	124.0	1.940414928	33.61734045	57.0	1.958094704	19.52371866	310.0	3.4899844287572788	74.94444005680953	310.0	3.4899844287572788	74.94444005680953	172.0	3.4496033915596027	47.17295140428338	Test
13114.angenent.65.s009	Angenent65.misc.1888	angenent.65.s009	bioreactor sludge	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	6/27/16 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123.0	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1622	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	2632055.0	1005931.0	1935273.0	272.0	2.305943109	53.4924503	57.0	2.289068905	15.44320581	567.0	3.108905307198424	114.49022711389149	565.0	3.108852796817459	114.2926791724228	108.0	3.0835749352339787	34.86077161516755	Train
13114.berry.2.s001	Berry2.sediment.Do5	berry.2.s001	sediment	EMP_Feces_berry_2_s001_a03_M_258	258	note applicable	UCSD	1B7_1_28_berry-2-s001-a04.mzML	1B7_1_28_berry-2-s001-a04	1.00	1B7	Bulk_201901_UCSD	Sample	Bulk	no	8/13/02 0:00	0.05	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do5	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	12858750.0	8206.0	19084.0	374.0	6.129717655	78.67866328	326.0	6.098247593	70.36402907	722.0	7.307278394004975	171.3507655796407	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train
13114.berry.2.s002	Berry2.sediment.Do15	berry.2.s002	sediment	EMP_Feces_berry_2_s002_a03_M_090	090	note applicable	UCSD	1C10_1_44_berry-2-s002-a04.mzML	1C10_1_44_berry-2-s002-a04	1.00	1C10	Bulk_201901_UCSD	Sample	Bulk	no	8/13/02 0:00	0.15	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do15	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	13034781.0	7362.0	15373.0	362.0	6.761690239	74.09397934	356.0	6.759768627000001	73.52023988	783.0	7.84854267807158	192.5521356231875	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
13114.berry.2.s003	Berry2.sediment.Do21	berry.2.s003	sediment	EMP_Feces_berry_2_s003_a03_M_091	091	note applicable	UCSD	1D11_1_64_berry-2-s003-a04.mzML	1D11_1_64_berry-2-s003-a04	1.00	1D11	Bulk_201901_UCSD	Sample	Bulk	no	8/13/02 0:00	0.21	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do21	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	13640507.0	7892.0	14113.0	341.0	6.4612488789999984	69.94208008	335.0	6.462117594	69.42203031	744.0	7.610885700989122	184.5647223026133	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train
13114.berry.2.s004	Berry2.sediment.Do41	berry.2.s004	sediment	EMP_Feces_berry_2_s004_a03_M_092	092	note applicable	UCSD	1C7_1_41_berry-2-s004-a04.mzML	1C7_1_41_berry-2-s004-a04	1.00	1C7	Bulk_201901_UCSD	Sample	Bulk	no	8/13/02 0:00	0.41	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do41	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	6355810.0	5919.0	2514.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	232.0	5.458109766996946	83.8942142556516	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
13114.berry.2.s005	Berry2.sediment.Do51	berry.2.s005	sediment	EMP_Feces_berry_2_s005_a03_M_093	093	note applicable	UCSD	1B3_1_21_berry-2-s005-a04.mzML	1B3_1_21_berry-2-s005-a04	1.00	1B3	Bulk_201901_UCSD	Sample	Bulk	no	8/13/02 0:00	0.51	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do51	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	3219287.0	3465.0	6315.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	336.0	5.028731920202262	100.6665177680079	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
13114.berry.2.s006	Berry2.sediment.Do70	berry.2.s006	sediment	EMP_Feces_berry_2_s006_a03_M_094	094	note applicable	UCSD	1D2_1_52_berry-2-s006-a04.mzML	1D2_1_52_berry-2-s006-a04	1.00	1D2	Bulk_201901_UCSD	Sample	Bulk	no	8/13/02 0:00	0.7	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do70	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	9615256.0	208059.0	2690596.0	326.0	3.477884109	77.92650038	86.0	3.475192013	24.20057211	701.0	4.029046010585391	175.59625246196015	700.0	4.028910660414359	175.2668542061649	236.0	3.9474290183173895	66.60306227230944	Train
13114.berry.2.s007	Berry2.sediment.Pi5	berry.2.s007	sediment	EMP_Feces_berry_2_s007_a03_M_098	098	note applicable	UCSD	1B6_1_27_berry-2-s007-a04.mzML	1B6_1_27_berry-2-s007-a04	1.00	1B6	Bulk_201901_UCSD	Sample	Bulk	no	8/21/02 0:00	0.05	not applicable	Freshwater sediment core slice from Pickerel Pond MA.  Aseptically collected subsample.	69.8	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Town of Ludlow	Pi5	not applicable	42.30844	-71.3412	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	3081491.0	2442.0	8926.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	435.0	6.836458057461001	109.95777297524342	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train
13114.berry.2.s008	Berry2.sediment.Pi11	berry.2.s008	sediment	EMP_Feces_berry_2_s008_a03_M_096	096	note applicable	UCSD	1E3_1_73_berry-2-s008-a04.mzML	1E3_1_73_berry-2-s008-a04	1.00	1E3	Bulk_201901_UCSD	Sample	Bulk	no	8/21/02 0:00	0.11	not applicable	Freshwater sediment core slice from Pickerel Pond MA.  Aseptically collected subsample.	69.8	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Town of Ludlow	Pi11	not applicable	42.30844	-71.3412	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	15823305.0	11736.0	18536.0	376.0	6.884871531	77.56692278	368.0	6.864681908	76.58953462	888.0	7.0077368356012855	205.26333828426758	880.0	6.995720210380093	203.2265605917073	851.0	6.9837479061522965	198.60452585458802	Train
13114.berry.2.s009	Berry2.sediment.Pi31	berry.2.s009	sediment	EMP_Feces_berry_2_s009_a03_M_097	097	note applicable	UCSD	1A2_1_2_berry-2-s009-a04.mzML	1A2_1_2_berry-2-s009-a04	1.00	1A2	Bulk_201901_UCSD	Sample	Bulk	no	8/21/02 0:00	0.31	not applicable	Freshwater sediment core slice from Pickerel Pond MA.  Aseptically collected subsample.	69.8	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Town of Ludlow	Pi31	not applicable	42.30844	-71.3412	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	14497052.0	7046.0	8882.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	605.0	7.6842905669002315	151.1533907438611	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
13114.berry.2.s010	Berry2.sediment.Pi61	berry.2.s010	sediment	EMP_Feces_berry_2_s010_a03_M_099	099	note applicable	UCSD	1C11_1_45_berry-2-s010-a04.mzML	1C11_1_45_berry-2-s010-a04	1.00	1C11	Bulk_201901_UCSD	Sample	Bulk	no	8/21/02 0:00	0.61	not applicable	Freshwater sediment core slice from Pickerel Pond MA.  Aseptically collected subsample.	69.8	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Town of Ludlow	Pi61	not applicable	42.30844	-71.3412	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	9802326.0	5615.0	6159.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	328.0	5.4348777393734125	105.74528867248432	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
13114.berry.2.s011	Berry2.sediment.Pi71	berry.2.s011	sediment	EMP_Feces_berry_2_s011_a03_M_001	001	note applicable	UCSD	1D3_1_53_berry-2-s011-a04.mzML	1D3_1_53_berry-2-s011-a04	1.00	1D3	Bulk_201901_UCSD	Sample	Bulk	no	8/21/02 0:00	0.71	not applicable	Freshwater sediment core slice from Pickerel Pond MA.  Aseptically collected subsample.	69.8	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Town of Ludlow	Pi71	not applicable	42.30844	-71.3412	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	9211503.0	5489.0	2712.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	330.0	4.881469499889024	107.76284210250222	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train
13114.berry.2.s012	Berry2.sediment.Pi101	berry.2.s012	sediment	EMP_Feces_berry_2_s012_a03_M_095	095	note applicable	UCSD	1E4_1_74_berry-2-s012-a04.mzML	1E4_1_74_berry-2-s012-a04	1.00	1E4	Bulk_201901_UCSD	Sample	Bulk	no	8/21/02 0:00	1.01	not applicable	Freshwater sediment core slice from Pickerel Pond MA.  Aseptically collected subsample.	69.8	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Town of Ludlow	Pi101	not applicable	42.30844	-71.3412	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	3574746.0	2420.0	796.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	177.0	3.673332102953077	65.55962958023521	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
